,section1,section2
16,"{'km_range': [121.4, 121.592], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (149155 408180, 149153 408164, 149150 408137, 149148 408108, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157126 390417, 157102 390448, 157078 390481, 157053 390512, 157...>}"
17,"{'km_range': [119.005, 119.049], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (151006 409490, 150990 409481, 150965 409466)>}","{'km_range': [116.8, 119.301], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (152381 410952, 152380 410948, 152352 410813, 152340 410759, 152...>}"
18,"{'km_range': [1.793, 2.486], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (150135 409031, 150109 409016, 150094 409010, 150076 409002, 150...>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'L', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150135 409031, 150109 409016, 150094 409010, 150076 409002, 150...>}"
19,"{'km_range': [121.275, 121.428], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (149107 408302, 149109 408287, 149110 408258, 149112 408180, 149...>}","{'km_range': [121.181, 121.355], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (149067 408383, 149073 408376, 149086 408359, 149096 408343, 149...>}"
20,"{'km_range': [119.351, 119.996], 'properties': {6: 'Vluchtstrook'}, 'geometry': <LINESTRING (150705 409315, 150671 409295, 150514 409198, 150497 409188, 150...>}","{'km_range': [119.128, 119.898], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150898 409440, 150731 409338, 150705 409315, 150671 409295, 150...>}"
21,"{'km_range': [1.726, 2.823], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (150197 409078, 150169 409075, 150149 409069, 150111 409058, 150...>}","{'km_range': [1.726, 1.793], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150197 409078, 150169 409075, 150149 409069, 150126 409062)>}"
22,"{'km_range': [121.365, 121.546], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (149142 408214, 149140 408201, 149137 408181, 149135 408162, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157111 390408, 157090 390439, 157054 390485, 157024 390523, 156...>}"
23,"{'km_range': [118.59, 118.688], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (151394 409641, 151366 409634, 151347 409629, 151318 409621, 151...>}","{'km_range': [116.8, 119.301], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (152381 410952, 152380 410948, 152352 410813, 152340 410759, 152...>}"
24,"{'km_range': [120.64, 120.866], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (149536 408802, 149519 408790, 149503 408778, 149487 408766, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157126 390417, 157102 390448, 157078 390481, 157053 390512, 157...>}"
26,"{'km_range': [115.195, 119.24], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (152505 412538, 152509 412522, 152518 412483, 152526 412444, 152...>}","{'km_range': [117.764, 119.122], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (152107 410028, 152101 410019, 152089 410003, 152072 409982, 152...>}"
27,"{'km_range': [119.007, 119.122], 'properties': {5: 'Puntstuk'}, 'geometry': <LINESTRING (150995 409518, 150982 409511, 150965 409501, 150930 409480, 150...>}","{'km_range': [117.764, 119.122], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook', 4: 'Rijstrook'}, 'geometry': <LINESTRING (150895 409462, 150930 409480, 150965 409501, 150982 409511, 150...>}"
28,"{'km_range': [118.256, 118.59], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (151721 409717, 151721 409716, 151706 409711, 151687 409705, 151...>}","{'km_range': [116.8, 119.301], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (152381 410952, 152380 410948, 152352 410813, 152340 410759, 152...>}"
